"business_name","business_type","address","city","state","zip","phone","email","contact_name","website","square_url","keywords_found","confidence","search_term_used","date_found","notes"
"Athens Pizza","Pizza Restaurant","2095 S Milledge Ave","Athens","GA","30605","(706) 521-8555","","","https://www.pizzaathens.com/?utm_source=gbp","https://athens-pizza.square.site/","*.square.site","confirmed","site:square.site pizza Athens GA","2026-03-13",""
"Fellinis Pizza Inc","Pizza Restaurant","333 Commerce Dr","Decatur","GA","30030","(404) 370-0551","","","http://www.fellinisatlanta.com/","https://fellinis-pizza-inc.square.site/","*.square.site","confirmed","site:square.site pizza Athens GA","2026-03-13",""
"Allantica","Italian Restaurant","323 E Broad St","Athens","GA","30601","(706) 353-3911","","","http://www.osteriaathena.com/","https://allantica.square.site/","*.square.site","confirmed","site:square.site pizza Athens GA","2026-03-13",""
"Onyxpizzeria","Pizza Restaurant","125 N Lumpkin St","Athens","GA","30601","(706) 613-7100","","","https://www.facebook.com/littleitalyathens?mibextid=LQQJ4d","https://onyxpizzeria.square.site/","*.square.site","confirmed","site:square.site pizza Athens GA","2026-03-13",""
"Alsrestaurant","Restaurant","5 East Square","Washington","GA","30673","(706) 678-5681","","","http://alsrestaurant.square.site/","https://alsrestaurant.square.site/","*.square.site","confirmed","site:square.site pizza Athens GA","2026-03-13",""
"Local Pizza","Pizza Restaurant","125 N Lumpkin St","Athens","GA","30601","(706) 613-7100","","","https://www.facebook.com/littleitalyathens?mibextid=LQQJ4d","https://local-pizza.square.site/","*.square.site","confirmed","site:square.site pizza Athens GA","2026-03-13",""
"Pizzarockvegas","Pizza Restaurant","2026 S Milledge Ave","Athens","GA","30605","(706) 355-3294","","","https://www.bulldawgpizzawingsmore.com/?utm_source=gbp","https://pizzarockvegas.square.site/","*.square.site","confirmed","site:square.site pizza Athens GA","2026-03-13",""
"Pizzapazzo","Pizza Restaurant","254 W Washington St","Athens","GA","30601","(706) 543-1523","","","https://tedsmostbest.com/","https://pizzapazzo.square.site/","*.square.site","confirmed","site:square.site pizza Athens GA","2026-03-13",""
"Atlantapizzatruck","Catering Service","2000 Cheshire Bridge Rd NE Suite J","Atlanta","GA","30324","(470) 317-4992","","","https://www.theatlantapizzatruck.com/home","https://atlantapizzatruck.square.site/","*.square.site","confirmed","site:square.site pizza Athens GA","2026-03-13",""
"Millies Pizzeria","Restaurant","5133 Peachtree Pkwy","Peachtree Corners","GA","30092","(470) 857-4992","","","https://milliespizzeria.com/","https://millies-pizzeria.square.site/","*.square.site","confirmed","site:square.site pizzeria Athens GA","2026-03-13",""
"Athenian Grill","Greek Restaurant","706 Athens Hwy A","Loganville","GA","30052","(770) 554-7400","","","http://www.athenasgyros.com/","https://athenian-grill.square.site/","*.square.site","confirmed","site:square.site pizzeria Athens GA","2026-03-13",""
"Pizza Alta","Pizza Restaurant","1397 Prince Ave","Athens","GA","30606","(706) 850-2037","","","http://www.autopizzaathens.com/","https://pizza-alta.square.site/","*.square.site","confirmed","site:square.site pizzeria Athens GA","2026-03-13",""
"Athens Greekrestaurant","Mediterranean Restaurant","227 Prince Ave","Athens","GA","30601","(706) 247-7619","","","https://www.tazikis.com/location/athens","https://athens-greekrestaurant.square.site/","*.square.site","confirmed","site:square.site pizzeria Athens GA","2026-03-13",""
"Atlas Brick Oven Pizzeria","Pizza Restaurant","104 Washington St NW","Gainesville","GA","30501","(770) 531-1144","","","http://www.atlaspizza.org/","https://atlas-brick-oven-pizzeria.square.site/","*.square.site","confirmed","site:square.site pizzeria Athens GA","2026-03-13",""
"Athenamedkitchen","Deli","975 Hawthorne Ave Ste B","Athens","GA","30606","(706) 206-9322","","","http://emskitchenathawthorne.com/","https://athenamedkitchen.square.site/","*.square.site","confirmed","site:square.site pizzeria Athens GA","2026-03-13",""
