"business_name","business_type","address","city","state","zip","phone","email","contact_name","website","square_url","keywords_found","confidence","search_term_used","date_found","notes"
"Anticowoodfiredpizza","Pizza Restaurant","1093 Hemphill Ave NW","Atlanta","GA","30318","(404) 724-2333","","","https://littleitalia.com/","https://anticowoodfiredpizza.square.site/","*.square.site","confirmed","site:square.site pizza Atlanta","2026-03-09",""
"Athens Pizza","Pizza Restaurant","1341 Clairmont Rd","Decatur","GA","30033","(404) 636-1100","","","http://www.athenspizzaatlanta.com/","https://athens-pizza.square.site/","*.square.site","confirmed","site:square.site pizza Atlanta","2026-03-09",""
"Onyxpizzeria","Night Club","1888 Cheshire Bridge Rd NE","Atlanta","GA","30324","(404) 850-4830","","","https://instagram.com/onyx_atlanta?igshid=YmMyMTA2M2Y=","https://onyxpizzeria.square.site/","*.square.site","confirmed","site:square.site pizza Atlanta","2026-03-09",""
"Atlas Brick Oven Pizzeria","Pizza Restaurant","104 Washington St NW","Gainesville","GA","30501","(770) 531-1144","","","http://www.atlaspizza.org/","https://atlas-brick-oven-pizzeria.square.site/","*.square.site","confirmed","site:square.site pizzeria Atlanta","2026-03-09",""
"The Corner Cup Coffee","Coffee Shop","2625 Lawrenceville Hwy","Decatur","GA","30033","(770) 674-5721","","","https://www.thecornercupcoffee.com/decatur","https://the-corner-cup-coffee.square.site/decatur","*.square.site","confirmed","site:square.site coffee Decatur","2026-03-09",""
"Revolutiondoughnuts","Bakery","908 W College Ave","Decatur","GA","30030","(470) 428-2023","","","http://www.revolutiondoughnuts.com/","https://revolutiondoughnuts.square.site/","*.square.site","confirmed","site:square.site coffee Decatur","2026-03-09",""
"Radio Roasters Coffee","Coffee Shop","2969 E Ponce de Leon Ave Suite 320","Decatur","GA","30030","(404) 228-6873","","","http://radioroasters.com/","https://radio-roasters-coffee.square.site/","*.square.site","confirmed","site:square.site coffee Decatur","2026-03-09",""
"Cafe Lily","Mediterranean Restaurant","308 W Ponce de Leon Ave","Decatur","GA","30030","(404) 371-9119","","","https://cafelily.com/","https://cafe-lily.square.site/","*.square.site","confirmed","site:square.site coffee Decatur","2026-03-09",""
"Tlc Coffee House","Coffee Shop","133 E Court Square","Decatur","GA","30030","","","","https://bellwoodcoffee.com/","https://tlc-coffee-house.square.site/","*.square.site","confirmed","site:square.site coffee Decatur","2026-03-09",""
"Cafecourbana","Greek Restaurant","2700 E College Ave #3000","Decatur","GA","30030","(678) 515-3700","","","https://www.kafeniogreekdiner.com/","https://cafecourbana.square.site/","*.square.site","confirmed","site:square.site coffee shop Decatur","2026-03-09",""
"Victory Coffee Shop","Restaurant","340 Church St","Decatur","GA","30030","(404) 377-9300","","","http://www.vicsandwich.com/","https://victory-coffee-shop.square.site/","*.square.site","confirmed","site:square.site coffee shop Decatur","2026-03-09",""
"Nypizzapatrolutah","Pizza Restaurant","2502 Blackmon Dr #810","Decatur","GA","30033","(404) 748-6099","","","https://locations.modpizza.com/usa/ga/decatur/2502-blackmon-dr?utm_source=google&utm_medium=yext","https://nypizzapatrolutah.square.site/","*.square.site","confirmed","site:square.site pizza Decatur","2026-03-09",""
"Pizzeria 22","Pizza Restaurant","314 Church St","Decatur","GA","30030","(404) 371-0001","","","http://saporidinapolipizzeria.com/","https://pizzeria-22.square.site/","*.square.site","confirmed","site:square.site pizza Decatur","2026-03-09",""
"Dp Pizza","Pizza Restaurant","4834 Flat Shoals Pkwy","Decatur","GA","30034","(770) 322-0375","","","https://order.online/business/davidos-375-113907","https://dp-pizza.square.site/","*.square.site","confirmed","site:square.site pizza Decatur","2026-03-09",""
"Piazza Pie","Restaurant","2752 E Ponce de Leon Ave suite a1","Decatur","GA","30030","(404) 205-5667","","","https://www.heapspies.com/","https://piazza-pie.square.site/","*.square.site","confirmed","site:square.site pizza Decatur","2026-03-09",""
"Vinnis Pizza","Pizza Restaurant","860 Peachtree St NE","Atlanta","GA","30308","(404) 872-0484","","","https://order.toasttab.com/online/vinnys-ny-pizza-midtown-860-peachtree-st-ne","https://vinnis-pizza.square.site/","*.square.site","confirmed","site:square.site pizza Decatur","2026-03-09",""
"Dekalbpizzeria","Pizza Restaurant","2111 N Decatur Rd","Decatur","GA","30030","","","","","https://dekalbpizzeria.square.site/","*.square.site","confirmed","site:square.site pizzeria Decatur","2026-03-09",""
"Madisons Pizzeria","Pizza Restaurant","657 East Lake Dr","Decatur","GA","30030","(404) 373-1999","","","http://www.mojopizzanpub.com/","https://madisons-pizzeria.square.site/","*.square.site","confirmed","site:square.site pizzeria Decatur","2026-03-09",""
"Flora Pizzeria","Restaurant","1235 Chattahoochee Ave NW Suite 130","Atlanta","GA","30318","","","","https://floraditalia.com/","https://flora-pizzeria.square.site/","*.square.site","confirmed","site:square.site pizzeria Decatur","2026-03-09",""
"Pizzeria Trasimeno","Pizza Restaurant","314 Church St","Decatur","GA","30030","(404) 371-0001","","","http://saporidinapolipizzeria.com/","https://pizzeria-trasimeno.square.site/","*.square.site","confirmed","site:square.site pizzeria Decatur","2026-03-09",""
"Revcoffeemarket","Coffee Shop","1680 Spring Rd SE B","Smyrna","GA","30080","(770) 573-4434","","","http://www.revcoffee.com/","https://revcoffeemarket.square.site/","*.square.site","confirmed","site:square.site coffee Sandy Springs","2026-03-09",""
"Capachiscoffee","Coffee Shop","6125 Roswell Rd Suite 1050","Sandy Springs","GA","30328","","","","https://atlcafecomma.com/","https://capachiscoffee.square.site/","*.square.site","confirmed","site:square.site coffee Sandy Springs","2026-03-09",""
"Coffeebar","Coffee Shop","1110 Hammond Dr Suite 10","Sandy Springs","GA","30328","(678) 736-0744","","","https://justlovecoffeecafe.com/ga-sandy-springs/","https://coffeebar.square.site/","*.square.site","confirmed","site:square.site coffee Sandy Springs","2026-03-09",""
"Springbrew","Coffee Shop","16 Hwy 53","Cave Spring","GA","30124","(706) 777-3999","","","http://www.springbrewcoffee.com/","https://springbrew.square.site/","*.square.site","confirmed","site:square.site coffee Sandy Springs","2026-03-09",""
"8A5E","Cafe","5825 Mountain Creek Rd NE Suite A","Sandy Springs","GA","30328","(470) 346-2127","","","http://thecafeiam.com/","https://8a5e.square.site/","*.square.site","confirmed","site:square.site coffee Sandy Springs","2026-03-09",""
"Sandinocoffee","Cafe","4920 Roswell Rd Ste. 14","Atlanta","GA","30342","(770) 376-8940","","","https://www.toasttab.com/cupanions-kitchen-coffee","https://sandinocoffee.square.site/","*.square.site","confirmed","site:square.site coffee Sandy Springs","2026-03-09",""
"Muncriefcoffee","Cafe","5825 Mountain Creek Rd NE Suite A","Sandy Springs","GA","30328","(470) 346-2127","","","http://thecafeiam.com/","https://muncriefcoffee.square.site/","*.square.site","confirmed","site:square.site coffee Sandy Springs","2026-03-09",""
"Alma Coffee","Coffee Shop","3448 Holly Springs Pkwy","Canton","GA","30115","(404) 369-0850","","","https://myalmacoffee.com/","https://alma-coffee.square.site/","*.square.site","confirmed","site:square.site coffee Sandy Springs","2026-03-09",""
"The Coffee House By Cashews Artisans","Mediterranean Restaurant","6090 Roswell Rd","Sandy Springs","GA","30328","(470) 764-3576","","","https://www.kidcashew.com/locations/sandy-springs/","https://the-coffee-house-by-cashews-artisans.square.site/","*.square.site","confirmed","site:square.site coffee shop Sandy Springs","2026-03-09",""
"Divinecafelv","Catering Service","8735 DUNWOODY PLACE # 7728 ATLANTA","Sandy Springs","GA","30350","(678) 224-1538","","","http://www.divinevisionscatering.com/","https://divinecafelv.square.site/","*.square.site","confirmed","site:square.site cafe Sandy Springs","2026-03-09",""
"Sandyes Cafe","Diner","8612 Roswell Rd","Sandy Springs","GA","30350","(770) 594-9272","","","http://www.sandyspringsdiner.com/","https://sandyes-cafe.square.site/","*.square.site","confirmed","site:square.site cafe Sandy Springs","2026-03-09",""
"Sandysflavorstation","Diner","8612 Roswell Rd","Sandy Springs","GA","30350","(770) 594-9272","","","http://www.sandyspringsdiner.com/","https://sandysflavorstation.square.site/","*.square.site","confirmed","site:square.site cafe Sandy Springs","2026-03-09",""
"New York Pizza","Pizza Restaurant","276 Hammond Dr","Sandy Springs","GA","30328","(404) 252-0147","","","http://www.sandyspringspizza.com/index.html","https://new-york-pizza.square.site/","*.square.site","confirmed","site:square.site pizza Sandy Springs","2026-03-09",""
"Brockenzomo","Restaurant","6125 Roswell Rd Suite 800","Sandy Springs","GA","30328","(678) 498-6530","","","http://okiboru.com/","https://brockenzomo.square.site/","*.square.site","confirmed","site:square.site pizza Sandy Springs","2026-03-09",""
"Mrpizzaca","Pizza Restaurant","6405 Blue Stone Rd Ste 240","Atlanta","GA","30328","(404) 255-3000","","","https://www.mistero1.com/","https://mrpizzaca.square.site/","*.square.site","confirmed","site:square.site pizza Sandy Springs","2026-03-09",""
"Piaccieatery","Italian Restaurant","500 Pharr Rd NE","Atlanta","GA","30305","(404) 237-2941","","","https://buckheadrestaurants.com/restaurant/pricci/","https://piaccieatery.square.site/","*.square.site","confirmed","site:square.site pizza Sandy Springs","2026-03-09",""
"Pizzarockvegas","Pizza Restaurant","5920 Roswell Rd B-118","Sandy Springs","GA","30328","(404) 709-2148","","","https://gspizzaria.com/","https://pizzarockvegas.square.site/","*.square.site","confirmed","site:square.site pizza Sandy Springs","2026-03-09",""
"Sunnys Pizzeria","Pizza Restaurant","220 Sandy Springs Cir Suite 149","Sandy Springs","GA","30328","(404) 343-0585","","","https://www.sunnysidepizzeria.com/","https://sunnys-pizzeria.square.site/","*.square.site","confirmed","site:square.site pizza Sandy Springs","2026-03-09",""
"Third Coast Pizza","Pizza Restaurant","6405 Blue Stone Rd Ste 240","Atlanta","GA","30328","(404) 255-3000","","","https://www.mistero1.com/","https://third-coast-pizza.square.site/","*.square.site","confirmed","site:square.site pizza Sandy Springs","2026-03-09",""
"Napolicarrboro","Pizza Restaurant","276 Hammond Dr","Sandy Springs","GA","30328","(404) 252-0147","","","http://www.sandyspringspizza.com/index.html","https://napolicarrboro.square.site/","*.square.site","confirmed","site:square.site pizzeria Sandy Springs","2026-03-09",""
"Giospizzalab","Pizza Restaurant","5920 Roswell Rd B-118","Sandy Springs","GA","30328","(404) 709-2148","","","https://gspizzaria.com/","https://giospizzalab.square.site/","*.square.site","confirmed","site:square.site pizzeria Sandy Springs","2026-03-09",""
"Sammy Gs Pizza","Pizza Restaurant","5920 Roswell Rd B-118","Sandy Springs","GA","30328","(404) 709-2148","","","https://gspizzaria.com/","https://sammy-gs-pizza.square.site/","*.square.site","confirmed","site:square.site pizzeria Sandy Springs","2026-03-09",""
"The Pizza Series","Pizza Restaurant","5920 Roswell Rd B-118","Sandy Springs","GA","30328","(404) 709-2148","","","https://gspizzaria.com/","https://the-pizza-series.square.site/","*.square.site","confirmed","site:square.site pizzeria Sandy Springs","2026-03-09",""
"Seastreetpizzeria","Pizza Restaurant","220 Sandy Springs Cir Suite 149","Sandy Springs","GA","30328","(404) 343-0585","","","https://www.sunnysidepizzeria.com/","https://seastreetpizzeria.square.site/","*.square.site","confirmed","site:square.site pizzeria Sandy Springs","2026-03-09",""
"Sunnyoakpizza","Pizza Restaurant","220 Sandy Springs Cir Suite 149","Sandy Springs","GA","30328","(404) 343-0585","","","https://www.sunnysidepizzeria.com/","https://sunnyoakpizza.square.site/","*.square.site","confirmed","site:square.site pizzeria Sandy Springs","2026-03-09",""
"Pizzadelsudsquare","Italian Restaurant","220 Sandy Springs Cir Suite 149","Sandy Springs","GA","30328","(404) 343-0585","","","https://www.sunnysidepizzeria.com/","https://pizzadelsudsquare.square.site/","*.square.site","confirmed","site:square.site pizzeria Sandy Springs","2026-03-09",""
"Sangiorgiospizza","Pizza Restaurant","6405 Blue Stone Rd Ste 240","Atlanta","GA","30328","(404) 255-3000","","","https://www.mistero1.com/","https://sangiorgiospizza.square.site/","*.square.site","confirmed","site:square.site pizzeria Sandy Springs","2026-03-09",""
"Pnpizza","Pizza Restaurant","220 Sandy Springs Cir Suite 149","Sandy Springs","GA","30328","(404) 343-0585","","","https://www.sunnysidepizzeria.com/","https://pnpizza.square.site/","*.square.site","confirmed","site:square.site pizzeria Sandy Springs","2026-03-09",""
"Belux Coffee Roswell","Coffee Shop","1055 Alpharetta St Ste 1800","Roswell","GA","30075","(678) 587-5245","","","http://www.beluxcoffee.com/","https://belux-coffee-roswell.square.site/","*.square.site","confirmed","site:square.site coffee Roswell","2026-03-09",""
"Groundandpoundcoffee","Coffee Shop","8420 Holcomb Bridge Rd Suite 220","Alpharetta","GA","30022","(770) 687-2215","","","http://groundandpoundcoffee.com/","https://groundandpoundcoffee.square.site/","*.square.site","confirmed","site:square.site coffee Roswell","2026-03-09",""
"Crazy Love Coffeehouse","Coffee Shop","1088 Canton St Suite 100","Roswell","GA","30075","(770) 545-8228","","","https://www.crazylove.coffee/","https://crazy-love-coffeehouse.square.site/","*.square.site","confirmed","site:square.site coffee Roswell","2026-03-09",""
"The Coffee Shop 104307","Coffee Shop","1090 Alpharetta St","Roswell","GA","30075","(470) 657-6019","","","https://www.bizarrecoffee.com/","https://the-coffee-shop-104307.square.site/","*.square.site","confirmed","site:square.site coffee Roswell","2026-03-09",""
"The Roosevelt Coffeehouse","Coffee Shop","1088 Canton St Suite 100","Roswell","GA","30075","(770) 545-8228","","","https://www.crazylove.coffee/","https://the-roosevelt-coffeehouse.square.site/","*.square.site","confirmed","site:square.site coffee Roswell","2026-03-09",""
"Redeyedroostercoffee","Coffee Shop","111 E Market St","Chatsworth","GA","30705","(706) 517-3614","","","https://redeyedroosterco.com/","https://redeyedroostercoffee.square.site/","*.square.site","confirmed","site:square.site coffee Roswell","2026-03-09",""
"Randscoffee","Coffee Shop","4651 Sandy Plains Rd #116","Roswell","GA","30075","(404) 236-9570","","","https://rise-coffeetea.com/","https://randscoffee.square.site/","*.square.site","confirmed","site:square.site coffee shop Roswell","2026-03-09",""
"Holygroundscafeteria","Breakfast Restaurant","1164 Canton St","Roswell","GA","30075","(678) 878-3105","","","https://www.graciousplentybb.com/","https://holygroundscafeteria.square.site/","*.square.site","confirmed","site:square.site coffee shop Roswell","2026-03-09",""
"Rosies Coffee Roasting Co","Coffee Shop","4651 Sandy Plains Rd #116","Roswell","GA","30075","(404) 236-9570","","","https://rise-coffeetea.com/","https://rosies-coffee-roasting-co.square.site/","*.square.site","confirmed","site:square.site coffee shop Roswell","2026-03-09",""
"Ourdailybreadfitz","Sandwich Shop","531 Roselane St NW","Marietta","GA","30060","(770) 423-7288","","","","https://ourdailybreadfitz.square.site/","*.square.site","confirmed","site:square.site cafe Roswell","2026-03-09",""
"Rosecafenova","Coffee Shop","4651 Sandy Plains Rd #116","Roswell","GA","30075","(404) 236-9570","","","https://rise-coffeetea.com/","https://rosecafenova.square.site/","*.square.site","confirmed","site:square.site cafe Roswell","2026-03-09",""
"Cafe 1881","Coffee Shop","1207 Canton St","Roswell","GA","30075","","","","https://www.cafesparrowga.com/","https://cafe-1881.square.site/","*.square.site","confirmed","site:square.site cafe Roswell","2026-03-09",""
"Cafereveille","American Restaurant","11725 Alpharetta Hwy","Roswell","GA","30076","(770) 817-0200","","","http://www.reveillecafe.com/","https://cafereveille.square.site/","*.square.site","confirmed","site:square.site cafe Roswell","2026-03-09",""
"Rozarios Pizza Pasta Pub","Pizza Restaurant","415 Peachtree Pkwy #200","Cumming","GA","30041","(678) 228-4782","","","https://www.rosatispizzaandsportspub.com/","https://rozarios-pizza-pasta-pub.square.site/","*.square.site","confirmed","site:square.site pizza Roswell","2026-03-09",""
"Russo Brothers","Liquor Store","1186 Canton St","Roswell","GA","30075","(678) 694-8793","","","https://www.thestoutbrothers.com/roswell-ga-beer-market","https://russo-brothers.square.site/","*.square.site","confirmed","site:square.site pizzeria Roswell","2026-03-09",""
"Riverviewpizza","Restaurant","11877 Douglas Rd #103","Alpharetta","GA","30005","(770) 360-0002","","","http://www.riversidepizza.net/","https://riverviewpizza.square.site/","*.square.site","confirmed","site:square.site pizzeria Roswell","2026-03-09",""
"Crazy Town Cooking","Restaurant","1066 Alpharetta St","Roswell","GA","30075","(770) 518-7858","","","https://cristyskitchenga.com/","https://crazy-town-cooking.square.site/","*.square.site","confirmed","site:square.site pizzeria Roswell","2026-03-09",""
"Bbs Pizzaria Online Order","Pizza Restaurant","1353 Brockett Rd # P","Clarkston","GA","30021","(470) 445-6025","","","http://bbspizza.com/","https://bbs-pizzaria-online-order.square.site/","*.square.site","confirmed","site:square.site pizzeria Roswell","2026-03-09",""
"Sessions Stand","Cafe","397 Sessions St NW #200","Marietta","GA","30060","","","","https://sessions-stand.com","https://sessions-stand.square.site/","*.square.site","confirmed","site:square.site coffee Marietta","2026-03-09",""
"Perks Coffee","Coffee Shop","3000 Windy Hill Rd SE #176","Marietta","GA","30067","(678) 903-5539","","","https://mariettaperks.com","https://perks-coffee.square.site/","*.square.site","confirmed","site:square.site coffee Marietta","2026-03-09",""
"Bizarre Coffee","Coffee Shop","121 E Marietta St","Canton","GA","30114","(470) 863-9800","","","http://www.bizarrecoffee.com/","https://bizarre-coffee.square.site/","*.square.site","confirmed","site:square.site coffee Marietta","2026-03-09",""
"Graftcoffee","Coffee Roastery","414 Springfield Dr","Woodstock","GA","30188","(404) 913-6116","","","https://graftcoffeeroasters.com/","https://graftcoffee.square.site/","*.square.site","confirmed","site:square.site coffee Marietta","2026-03-09",""
"Zoomcoffeeroasters","Coffee Shop","960 Scales Rd Suite # 110","Suwanee","GA","30024","(678) 765-7565","","","https://www.instagram.com/zoomcoffeeroaster/?hl=en","https://zoomcoffeeroasters.square.site/","*.square.site","confirmed","site:square.site coffee Marietta","2026-03-09",""
"Marioscoffee","Coffee Shop","1598 Roswell Rd","Marietta","GA","30062","(678) 765-8885","","","http://www.mariettacoffeecompany.com/","https://marioscoffee.square.site/","*.square.site","confirmed","site:square.site coffee Marietta","2026-03-09",""
"Shop Lamatchacafe","Grocery Store","130 S Park Square NE","Marietta","GA","30060","(770) 794-3136","","","http://www.thelocalexchangemarietta.com/","https://shop-lamatchacafe.square.site/","*.square.site","confirmed","site:square.site coffee Marietta","2026-03-09",""
"Sxfcoffee","Coffee Shop","2995 Johnson Ferry Rd #220","Marietta","GA","30062","(470) 709-4113","","","http://mzizicoffeeroaster.com/","https://sxfcoffee.square.site/","*.square.site","confirmed","site:square.site coffee Marietta","2026-03-09",""
"Crvroasters","Coffee Shop","1088 Canton St Suite 100","Roswell","GA","30075","(770) 545-8228","","","https://www.crazylove.coffee/","https://crvroasters.square.site/","*.square.site","confirmed","site:square.site coffee Roswell GA","2026-03-09",""
"Labcoffeebn","Coffee Shop","1090 Alpharetta St","Roswell","GA","30075","(470) 657-6019","","","https://www.bizarrecoffee.com/","https://labcoffeebn.square.site/","*.square.site","confirmed","site:square.site coffee Roswell GA","2026-03-09",""
"Buenos Dias Coffee Llc","Coffee Shop","802 Chickamauga Ave","Rossville","GA","30741","(706) 841-4309","","","https://www.buenosdiascafe.com","https://buenos-dias-coffee-llc.square.site/","*.square.site","confirmed","site:square.site coffee Roswell GA","2026-03-09",""
"Hgcoffeeaj","Coffee Shop","11235 Alpharetta Hwy Suite 136","Roswell","GA","30076","(470) 292-3108","","","http://www.967coffeeco.com/","https://hgcoffeeaj.square.site/","*.square.site","confirmed","site:square.site coffee Roswell GA","2026-03-09",""
"Christys Cafe","Restaurant","1066 Alpharetta St","Roswell","GA","30075","(770) 518-7858","","","https://cristyskitchenga.com/","https://christys-cafe.square.site/","*.square.site","confirmed","site:square.site coffee Roswell GA","2026-03-09",""
"Alcove Coffeehouse","Coffee Shop","4615 Stone Mountain Hwy Suite B","Lilburn","GA","30047","(770) 979-3030","","","http://alcovecoffeehouse.com/","https://alcove-coffeehouse.square.site/","*.square.site","confirmed","site:square.site coffee Roswell GA","2026-03-09",""
